Họ tên,Chức vị,Chuyên khoa,Bệnh viện,Link Profile
Đỗ Tất Cường,"Giáo sư, Tiến sĩ , Bác sĩ",Tim mạch,Trung tâm hồi sức và cấp cứu - Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/do-tat-cuong-416-vi
Nguyễn Thanh Liêm,"Giáo sư, Tiến sĩ , Bác sĩ",Nhi,Trung tâm Y học tái tạo & Trị liệu tế bào,/vie/chuyen-gia-y-te/nguyen-thanh-liem-50989-vi
Trần Trung Dũng,"Giáo sư, Tiến sĩ , Bác sĩ",Ngoại chấn thương chỉnh hình,Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/tran-trung-dung-51519-vi
Philippe Macaire,"Giáo sư, Tiến sĩ , Bác sĩ",Gây mê - điều trị đau,Khoa Gây mê giảm đau - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/philippe-macaire-51188-vi
Phạm Nhật An,"Giáo sư, Tiến sĩ , Bác sĩ",Nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/pham-nhat-an-50932-vi
Đoàn Quốc Hưng,"Giáo sư, Tiến sĩ , Bác sĩ",Tim mạch,Bệnh viện Đa khoa Quốc tế Vinmec Ocean Park 2,/vie/chuyen-gia-y-te/doan-quoc-hung
Bùi Đức Phú,"Giáo sư, Tiến sĩ , Bác sĩ",Tim mạch,Hệ thống Y tế Vinmec,/vie/chuyen-gia-y-te/bui-duc-phu-51608-vi
Phạm Bá Nha,"Phó giáo sư, Tiến sĩ , Bác sĩ",Hỗ trợ sinh sản,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/pham-ba-nha-51820-vi
Phạm Đức Huấn,"Phó giáo sư, Thầy thuốc nhân dân, Tiến sĩ , Bác sĩ",Tiêu hóa,Trung tâm Tiêu hóa - Gan mật - Tiết niệu - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/pham-duc-huan-51486-vi
Nguyễn Văn Đĩnh,"Phó giáo sư, Tiến sĩ",Dị ứng miễn dịch lâm sàng,Đơn nguyên Hô hấp - Dị ứng Miễn dịch lâm sàng - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-van-dinh-51127-vi
Nguyễn Quốc Tuấn,"Phó giáo sư, Tiến sĩ Bác sĩ chuyên khoa II",Sản phụ khoa,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-quoc-tuan-51674-vi
Lê Thị Minh Hương,"Phó giáo sư, Tiến sĩ , Bác sĩ",Nội nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/le-thi-minh-huong-51532-vi
Yi Hyeon Gyu,"Phó giáo sư, Tiến sĩ , Bác sĩ",Nội Ung bướu,Bệnh viện Đa khoa Quốc tế Vinmec Central Park,/vie/chuyen-gia-y-te/yi-hyeon-gyu-50974-vi
Trần Mạnh Hùng,"Phó giáo sư, Tiến sĩ , Bác sĩ",Ngoại Tiêu hoá,Bệnh viện Đa khoa Vinmec Smart City,/vie/chuyen-gia-y-te/tran-manh-hung-vi
Lưu Hồng Hải,"Phó giáo sư, Tiến sĩ , Bác sĩ",Ngoại chấn thương chỉnh hình,Bệnh viện Đa khoa Vinmec Hải Phòng,/vie/chuyen-gia-y-te/luu-hong-hai-51238-vi
Nguyễn Thị Hoàn,"Phó giáo sư, Tiến sĩ , Bác sĩ",Nội nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,/vie/chuyen-gia-y-te/nguyen-thi-hoan-50934-vi
